TIME_REF,rent_cpi,region
2009.01,1123,Rest of South Island
2009.02,1091,Rest of South Island
2009.03,1093,Rest of South Island
2009.04,1061,Rest of South Island
2009.05,1072,Rest of South Island
2009.06,1090,Rest of South Island
2009.07,1083,Rest of South Island
2009.08,1093,Rest of South Island
2009.09,1097,Rest of South Island
2009.1,1086,Rest of South Island
2009.11,1094,Rest of South Island
2009.12,1084,Rest of South Island
2010.01,1171,Rest of South Island
2010.02,1137,Rest of South Island
2010.03,1113,Rest of South Island
2010.04,1094,Rest of South Island
2010.05,1077,Rest of South Island
2010.06,1113,Rest of South Island
2010.07,1091,Rest of South Island
2010.08,1081,Rest of South Island
2010.09,1108,Rest of South Island
2010.1,1089,Rest of South Island
2010.11,1091,Rest of South Island
2010.12,1104,Rest of South Island
2011.01,1229,Rest of South Island
2011.02,1133,Rest of South Island
2011.03,1115,Rest of South Island
2011.04,1133,Rest of South Island
2011.05,1112,Rest of South Island
2011.06,1108,Rest of South Island
2011.07,1120,Rest of South Island
2011.08,1111,Rest of South Island
2011.09,1125,Rest of South Island
2011.1,1109,Rest of South Island
2011.11,1122,Rest of South Island
2011.12,1127,Rest of South Island
2012.01,1237,Rest of South Island
2012.02,1155,Rest of South Island
2012.03,1162,Rest of South Island
2012.04,1130,Rest of South Island
2012.05,1114,Rest of South Island
2012.06,1130,Rest of South Island
2012.07,1134,Rest of South Island
2012.08,1154,Rest of South Island
2012.09,1131,Rest of South Island
2012.1,1123,Rest of South Island
2012.11,1138,Rest of South Island
2012.12,1131,Rest of South Island
2013.01,1249,Rest of South Island
2013.02,1176,Rest of South Island
2013.03,1178,Rest of South Island
2013.04,1114,Rest of South Island
2013.05,1146,Rest of South Island
2013.06,1159,Rest of South Island
2013.07,1138,Rest of South Island
2013.08,1150,Rest of South Island
2013.09,1180,Rest of South Island
2013.1,1161,Rest of South Island
2013.11,1180,Rest of South Island
2013.12,1152,Rest of South Island
2014.01,1282,Rest of South Island
2014.02,1214,Rest of South Island
2014.03,1188,Rest of South Island
2014.04,1159,Rest of South Island
2014.05,1185,Rest of South Island
2014.06,1173,Rest of South Island
2014.07,1186,Rest of South Island
2014.08,1175,Rest of South Island
2014.09,1176,Rest of South Island
2014.1,1192,Rest of South Island
2014.11,1202,Rest of South Island
2014.12,1214,Rest of South Island
2015.01,1295,Rest of South Island
2015.02,1186,Rest of South Island
2015.03,1189,Rest of South Island
2015.04,1213,Rest of South Island
2015.05,1214,Rest of South Island
2015.06,1223,Rest of South Island
2015.07,1199,Rest of South Island
2015.08,1193,Rest of South Island
2015.09,1226,Rest of South Island
2015.1,1242,Rest of South Island
2015.11,1216,Rest of South Island
2015.12,1255,Rest of South Island
2016.01,1279,Rest of South Island
2016.02,1212,Rest of South Island
2016.03,1239,Rest of South Island
2016.04,1258,Rest of South Island
2016.05,1259,Rest of South Island
2016.06,1306,Rest of South Island
2016.07,1255,Rest of South Island
2016.08,1299,Rest of South Island
2016.09,1299,Rest of South Island
2016.1,1283,Rest of South Island
2016.11,1331,Rest of South Island
2016.12,1288,Rest of South Island
2017.01,1314,Rest of South Island
2017.02,1295,Rest of South Island
2017.03,1301,Rest of South Island
2017.04,1307,Rest of South Island
2017.05,1353,Rest of South Island
2017.06,1354,Rest of South Island
2017.07,1290,Rest of South Island
2017.08,1338,Rest of South Island
2017.09,1306,Rest of South Island
2017.1,1358,Rest of South Island
2017.11,1382,Rest of South Island
2017.12,1346,Rest of South Island
2018.01,1352,Rest of South Island
2018.02,1359,Rest of South Island
2018.03,1402,Rest of South Island
2018.04,1419,Rest of South Island
2018.05,1420,Rest of South Island
2018.06,1434,Rest of South Island
2018.07,1380,Rest of South Island
2018.08,1387,Rest of South Island
2018.09,1385,Rest of South Island
2018.1,1400,Rest of South Island
2018.11,1413,Rest of South Island
2018.12,1421,Rest of South Island
2019.01,1406,Rest of South Island
2019.02,1418,Rest of South Island
2019.03,1460,Rest of South Island
2019.04,1482,Rest of South Island
2019.05,1521,Rest of South Island
2019.06,1509,Rest of South Island
2019.07,1481,Rest of South Island
2019.08,1486,Rest of South Island
2019.09,1509,Rest of South Island
